country,question_number,question_id,criteria_short,scale,answer,weight_sum,book_count_unweighted,proportion,aggregation
Russia,8,q8,are there different countries in space? Or just one?,ordinal,Other / Unsure,2,2,0.25,mode
Russia,8,q8,are there different countries in space? Or just one?,ordinal,Single unified authority,4,4,0.5,mode
Russia,9,q9,genre of the book,nominal,Adventure / exploration,1,1,0.125,mode
Russia,9,q9,genre of the book,nominal,Drama,3,3,0.375,mode
Russia,9,q9,genre of the book,nominal,Political / diplomatic,1,1,0.125,mode
Russia,9,q9,genre of the book,nominal,Thriller / Horror / Survival,3,3,0.375,mode
Russia,10,q10,is space a military or civilian domain / is the book military or civilian?,ordinal,Entirely civilian,5,5,0.625,mode
Russia,10,q10,is space a military or civilian domain / is the book military or civilian?,ordinal,Mixed civilian-military domain,2,2,0.25,mode
Russia,10,q10,is space a military or civilian domain / is the book military or civilian?,ordinal,Other / Unsure,1,1,0.125,mode
Russia,11,q11,Is space characterized like another military domain?,nominal,Like the frontier / colonial expansion,6,6,0.75,mode
Russia,11,q11,Is space characterized like another military domain?,nominal,Other / Unsure,1,1,0.125,mode
Russia,11,q11,Is space characterized like another military domain?,nominal,Totally unique domain,1,1,0.125,mode
Russia,12,q12,how physically different is space from earth?,ordinal,Almost Earth-like,1,1,0.125,mode
Russia,12,q12,how physically different is space from earth?,ordinal,Moderately different (regular adaptation needed),1,1,0.125,mode
Russia,12,q12,how physically different is space from earth?,ordinal,Other / Unsure,1,1,0.125,mode
Russia,12,q12,how physically different is space from earth?,ordinal,Radically non-Earth-like (physics/environment fundamentally unlike Earth experience),3,3,0.375,mode
Russia,12,q12,how physically different is space from earth?,ordinal,Somewhat different (manageable environmental differences),1,1,0.125,mode
Russia,12,q12,how physically different is space from earth?,ordinal,Very different (human bodies/technology constantly challenged),1,1,0.125,mode
US,1,q1,is space something to be contested,ordinal,High contestation (frequent conflict or strategic struggle),3.08,5,0.28,mode
US,1,q1,is space something to be contested,ordinal,"Low contestation (minor competition, little open conflict)",2.16,6,0.19636363636363638,mode
US,1,q1,is space something to be contested,ordinal,Moderate contestation (ongoing rivalry/disputes),1.16,5,0.10545454545454545,mode
US,1,q1,is space something to be contested,ordinal,No contestation,3.52,16,0.32,mode
US,1,q1,is space something to be contested,ordinal,Total war / constant conflict,1.08,3,0.09818181818181819,mode
US,2,q2,can you inhabit and hold territory in space,ordinal,Cannot inhabit or hold territory,0.08,2,0.007272727272727273,mode
US,2,q2,can you inhabit and hold territory in space,ordinal,Extensive territorial occupation (many settled worlds/regions held like states or empires),4,4,0.36363636363636365,mode
US,2,q2,can you inhabit and hold territory in space,ordinal,Habitable and governable (permanent settlements can hold territory),1.44,12,0.1309090909090909,mode
US,2,q2,can you inhabit and hold territory in space,ordinal,"Limited settlement (small colonies, hard to sustain/control)",0.24,6,0.021818181818181816,mode
US,2,q2,can you inhabit and hold territory in space,ordinal,Other / Unsure,0.04,1,0.0036363636363636364,mode
US,2,q2,can you inhabit and hold territory in space,ordinal,"Visiting / Temporary presence only (stations, missions, outposts)",5.2,10,0.4727272727272727,mode
US,3,q3,how long is journey / how  far from earth,ordinal,"Extreme / effectively unreachable (generational, completely separate, or one-way-feeling distance)",6,6,0.5454545454545454,mode
US,3,q3,how long is journey / how  far from earth,ordinal,"Long-distance journey (years, major separation from Earth)",2.04,3,0.18545454545454546,mode
US,3,q3,how long is journey / how  far from earth,ordinal,Moderate journey (months/meaningful separation),1.04,2,0.09454545454545454,mode
US,3,q3,how long is journey / how  far from earth,ordinal,Other / Unsure,0.04,1,0.0036363636363636364,mode
US,3,q3,how long is journey / how  far from earth,ordinal,Short interplanetary journey,1.8800000000000001,23,0.17090909090909093,mode
US,4,q4,how culturally different is space from earth?,ordinal,Basically Earth society in space,2.56,16,0.23272727272727273,mode
US,4,q4,how culturally different is space from earth?,ordinal,Distinct space culture,1.04,2,0.09454545454545454,mode
US,4,q4,how culturally different is space from earth?,ordinal,Mixed / hybrid culture,1.2,6,0.10909090909090909,mode
US,4,q4,how culturally different is space from earth?,ordinal,Mostly Earth-like with minor adaptations,2,2,0.18181818181818182,mode
US,4,q4,how culturally different is space from earth?,ordinal,Other / Unsure,0.04,1,0.0036363636363636364,mode
US,4,q4,how culturally different is space from earth?,ordinal,Radically different / alien social order,4.16,8,0.3781818181818182,mode
US,5,q5,do you speak same language on earth vs space ?,ordinal,Distinct space language(s),1.12,4,0.10181818181818182,mode
US,5,q5,do you speak same language on earth vs space ?,ordinal,"Mostly same, with dialect/slang differences",1,1,0.09090909090909091,mode
US,5,q5,do you speak same language on earth vs space ?,ordinal,Other / Unsure,0.04,1,0.0036363636363636364,mode
US,5,q5,do you speak same language on earth vs space ?,ordinal,Same languages as Earth,5.68,22,0.5163636363636364,mode
US,5,q5,do you speak same language on earth vs space ?,ordinal,Shared lingua franca plus local variation,2,2,0.18181818181818182,mode
US,5,q5,do you speak same language on earth vs space ?,ordinal,Translation-mediated communication (universal translator / communication tech makes language difference irrelevant),1.16,5,0.10545454545454545,mode
US,6,q6,is it hostile / hard to survive (bc of natural conditions),ordinal,Extremely hostile (constant survival pressure),2.04,3,0.18545454545454546,mode
US,6,q6,is it hostile / hard to survive (bc of natural conditions),ordinal,Harsh and resource-intensive,3.2,8,0.29090909090909095,mode
US,6,q6,is it hostile / hard to survive (bc of natural conditions),ordinal,Manageable but risky,4.6,19,0.41818181818181815,mode
US,6,q6,is it hostile / hard to survive (bc of natural conditions),ordinal,Nearly uninhabitable / lethal without major intervention,1.04,2,0.09454545454545454,mode
US,6,q6,is it hostile / hard to survive (bc of natural conditions),ordinal,Other / Unsure,0.12,3,0.010909090909090908,mode
US,7,q7,how common is it for humans to live in space,ordinal,Common (many people live/work there),1.24,7,0.11272727272727273,mode
US,7,q7,how common is it for humans to live in space,ordinal,Exceptionally rare (few astronauts/explorers),3.4,13,0.3090909090909091,mode
US,7,q7,how common is it for humans to live in space,ordinal,Moderately common (noticeable settlements/populations),0.16,4,0.014545454545454545,mode
US,7,q7,how common is it for humans to live in space,ordinal,Normalized / widespread (space habitation is ordinary for humanity),4,4,0.36363636363636365,mode
US,7,q7,how common is it for humans to live in space,ordinal,Other / Unsure,0.04,1,0.0036363636363636364,mode
US,7,q7,how common is it for humans to live in space,ordinal,Uncommon (small specialist population),2.16,6,0.19636363636363638,mode
US,8,q8,are there different countries in space? Or just one?,ordinal,Earth nation-states extend into space,1.52,14,0.13818181818181818,mode
US,8,q8,are there different countries in space? Or just one?,ordinal,Multiple distinct space polities,6,6,0.5454545454545454,mode
US,8,q8,are there different countries in space? Or just one?,ordinal,No political order / ungoverned,0.16,4,0.014545454545454545,mode
US,8,q8,are there different countries in space? Or just one?,ordinal,Other / Unsure,0.28,7,0.025454545454545455,mode
US,8,q8,are there different countries in space? Or just one?,ordinal,Single unified authority,3.04,4,0.27636363636363637,mode
US,9,q9,genre of the book,nominal,Adventure / exploration,2.08,4,0.1890909090909091,mode
US,9,q9,genre of the book,nominal,Comedy / satire,1.08,3,0.09818181818181819,mode
US,9,q9,genre of the book,nominal,Drama,1.6400000000000001,17,0.1490909090909091,mode
US,9,q9,genre of the book,nominal,Military / war,1,1,0.09090909090909091,mode
US,9,q9,genre of the book,nominal,Political / diplomatic,3,3,0.2727272727272727,mode
US,9,q9,genre of the book,nominal,Thriller / Horror / Survival,2.2,7,0.2,mode
US,10,q10,is space a military or civilian domain / is the book military or civilian?,ordinal,Entirely civilian,5.76,24,0.5236363636363636,mode
US,10,q10,is space a military or civilian domain / is the book military or civilian?,ordinal,Entirely military / war-focused,1,1,0.09090909090909091,mode
US,10,q10,is space a military or civilian domain / is the book military or civilian?,ordinal,Mixed civilian-military domain,3,3,0.2727272727272727,mode
US,10,q10,is space a military or civilian domain / is the book military or civilian?,ordinal,Mostly civilian with some military presence,1.12,4,0.10181818181818182,mode
US,10,q10,is space a military or civilian domain / is the book military or civilian?,ordinal,Other / Unsure,0.12,3,0.010909090909090908,mode
US,11,q11,Is space characterized like another military domain?,nominal,Like the frontier / colonial expansion,6.92,29,0.629090909090909,mode
US,11,q11,Is space characterized like another military domain?,nominal,Like the ocean / naval,2,2,0.18181818181818182,mode
US,11,q11,Is space characterized like another military domain?,nominal,Other / Unsure,0.08,2,0.007272727272727273,mode
US,11,q11,Is space characterized like another military domain?,nominal,Totally unique domain,2,2,0.18181818181818182,mode
US,12,q12,how physically different is space from earth?,ordinal,Almost Earth-like,1,1,0.09090909090909091,mode
US,12,q12,how physically different is space from earth?,ordinal,Moderately different (regular adaptation needed),1.2,6,0.10909090909090909,mode
US,12,q12,how physically different is space from earth?,ordinal,Other / Unsure,0.16,4,0.014545454545454545,mode
US,12,q12,how physically different is space from earth?,ordinal,Radically non-Earth-like (physics/environment fundamentally unlike Earth experience),2,2,0.18181818181818182,mode
US,12,q12,how physically different is space from earth?,ordinal,Somewhat different (manageable environmental differences),1.48,13,0.13454545454545455,mode
US,12,q12,how physically different is space from earth?,ordinal,Very different (human bodies/technology constantly challenged),5.16,9,0.4690909090909091,mode
China,1,q1,is space something to be contested,ordinal,High contestation (frequent conflict or strategic struggle),1,1,0.16213333333333332,peak
